config,seed,test_accuracy,train_accuracy,sparsity,recon_mse_l0,recon_mse_l1,recon_mse_l2,n_params
P1-A,42,0.176,0.165,1.0,2.28114963434201e-08,1.429570171888778e-13,2.3751426941080215e-13,3616
P1-A,43,0.182,0.18,1.0,1.8491487521541535e-08,1.5055803712654624e-12,2.9694381047846997e-13,3616
P1-A,44,0.218,0.193,1.0,1.528425096269396e-08,2.1182636324467244e-13,2.0646747455622983e-13,3616
P1-A,45,0.198,0.205,1.0,2.4407315323411072e-08,4.561720252320223e-13,2.7319582911121023e-13,3616
P1-A,46,0.148,0.171,1.0,2.7062018490033852e-08,2.8202631822158543e-13,2.6754321891891643e-13,3616
P1-B,42,0.2,0.235,0.875,4.3297782787917494e-06,3.0318759545918786e-06,8.770766548209252e-07,3616
P1-B,43,0.212,0.195,0.4166666666666667,8.407570346143182e-06,1.6842693823778594e-05,1.2476354345354197e-05,3616
P1-B,44,0.19,0.204,0.7083333333333334,1.0199993430716257e-05,1.027582432949552e-05,3.215602848332558e-06,3616
P1-B,45,0.144,0.173,0.875,4.457142084538098e-06,1.1996020538891792e-06,1.5853505277043952e-06,3616
P1-B,46,0.172,0.191,0.625,9.24200298105989e-06,7.131695888683164e-06,1.3545181988957327e-06,3616
P1-C,42,0.236,0.268,1.0,2.120990581967566e-08,3.556333265755088e-13,1.8945088627101668e-13,43216
P1-C,43,0.164,0.164,1.0,3.186528664940448e-08,1.1443773102202672e-11,2.2468306574844978e-13,43216
P1-C,44,0.192,0.159,1.0,2.5059684992369672e-08,1.0087093527582984e-11,2.2145632216504825e-13,43216
P1-C,45,0.17,0.193,1.0,2.49418243960074e-08,5.302460472147622e-12,2.885522798131806e-13,43216
P1-C,46,0.19,0.196,1.0,4.2254438157339086e-08,5.906020369225126e-11,2.7077027088233724e-13,43216
P1-D,42,0.176,0.182,0.8333333333333334,4.456607163370253e-06,8.09090740633644e-06,7.509079784364782e-07,944
P1-D,43,0.196,0.212,1.0,3.2291121099695604e-06,8.695567542358168e-07,1.1814044290272282e-07,944
P1-D,44,0.204,0.216,0.8333333333333334,1.7925114594637386e-06,2.1030356244713417e-06,2.161638326128499e-06,944
P1-D,45,0.142,0.152,1.0,2.73835972400822e-06,2.1236532447925466e-06,2.4054842392616755e-07,944
P1-D,46,0.184,0.211,0.9166666666666666,1.4357839391941618e-05,6.909310886929254e-06,2.1614947561138103e-06,944
P1-E,42,0.162,0.145,0.0625,4.016702887770214e-06,1.1775503352950985e-05,2.4827280715849408e-05,2440
P1-E,43,0.202,0.199,0.0625,2.9057028985485835e-06,1.8431146501109492e-05,8.02608562760925e-05,2440
P1-E,44,0.25,0.233,0.3125,6.283136911783377e-06,6.438517794231314e-06,2.904378615036362e-06,2440
P1-E,45,0.196,0.204,0.1875,9.7938982875266e-06,1.221277418947993e-05,9.787729619980157e-06,2440
P1-E,46,0.224,0.179,0.375,1.0914246377373561e-05,1.9844871052038358e-05,5.315067028191094e-06,2440
Untrained-P1-B,42,0.332,0.351,0.105625,6.406660338321528e-05,8.997900017826513e-05,9.52073022766474e-05,3616
Untrained-P1-B,43,0.294,0.355,0.06834166666666666,8.655092300754643e-05,7.814809249575288e-05,8.285150561281531e-05,3616
Untrained-P1-B,44,0.282,0.322,0.10625833333333333,0.00010353813607159163,0.00010463607498432431,9.465201399656639e-05,3616
Untrained-P1-B,45,0.29,0.301,0.34703333333333336,2.9878593780187177e-05,1.6197551556000997e-05,1.1088734793595682e-05,3616
Untrained-P1-B,46,0.29,0.303,0.10008333333333333,9.022459561384374e-05,7.992437320714434e-05,6.53576608387461e-05,3616
