config,seed,test_accuracy,train_accuracy,next_step_cosine_markov,next_step_cosine_classification,final_jepa_loss
P2-A-Trained,42,0.6833333333333333,0.6966666666666667,0.47619187227619103,0.539325831117352,10.386557812648523
P2-A-Trained,43,0.6733333333333333,0.71,0.4562018042312455,0.4679403499829518,9.460336214961412
P2-A-Trained,44,0.6666666666666666,0.7366666666666667,0.4443603062527549,0.5096416667726876,9.963098017413317
P2-A-Trained,45,0.6733333333333333,0.725,0.4503534102476953,0.46151638835352443,10.01616629902807
P2-A-Trained,46,0.6566666666666666,0.715,0.4546202501707403,0.4727144803943031,9.744635022127241
P2-B-Trained,42,0.5866666666666667,0.6533333333333333,0.27706751016408565,0.28513461190324063,6.926534051815172
P2-B-Trained,43,0.6133333333333333,0.6633333333333333,0.3171141155881775,0.21949140160977548,5.282571669865233
P2-B-Trained,44,0.6566666666666666,0.6783333333333333,0.1907565353841829,0.2667100979171851,5.76637057414477
P2-B-Trained,45,0.62,0.67,0.27972865278305264,0.25421098910574536,5.312380358495212
P2-B-Trained,46,0.6666666666666666,0.6716666666666666,0.2193231597613981,0.29462177873472506,5.775208448692508
P2-C-Trained,42,0.62,0.665,0.143401291743082,0.41338546171767965,9.864983113290915
P2-C-Trained,43,0.65,0.6333333333333333,0.31539134228493865,0.37720745169212844,9.714472393558486
P2-C-Trained,44,0.63,0.6833333333333333,0.2569456121276603,0.29706653709157893,5.857648791495696
P2-C-Trained,45,0.5766666666666667,0.5766666666666667,0.19002075934118048,0.2618088905000908,6.419517837910146
P2-C-Trained,46,0.6,0.6483333333333333,0.24682411172633215,0.2573093235652923,8.127565567221138
P2-A-Untrained,42,0.56,0.5783333333333334,0.5080212550411938,0.5520693090175077,21.158653559336702
P2-A-Untrained,43,0.6333333333333333,0.6866666666666666,0.4862810503104084,0.478390549977343,20.454284915154755
P2-A-Untrained,44,0.5533333333333333,0.61,0.4768610225539798,0.5240449581971401,20.737009747041373
P2-A-Untrained,45,0.5366666666666666,0.6016666666666667,0.48044867717155104,0.47407741225172884,20.237869645252363
P2-A-Untrained,46,0.62,0.665,0.48193545660811143,0.4854706888640107,21.134377465213817
P2-B-Untrained,42,0.5666666666666667,0.5566666666666666,0.35978749531667065,0.4873769586407403,16.57254690052185
P2-B-Untrained,43,0.6366666666666667,0.665,0.32309311786474193,0.4166655277187635,15.686148832575826
P2-B-Untrained,44,0.6266666666666667,0.6816666666666666,0.29673727412190554,0.4833577199524592,15.996213670530267
P2-B-Untrained,45,0.6066666666666667,0.6466666666666666,0.22945985903918745,0.4319354334629328,15.437796086126415
P2-B-Untrained,46,0.5433333333333333,0.5616666666666666,0.2625091169765632,0.4047777373087867,16.16792949839688
P2-C-Untrained,42,0.57,0.5816666666666667,0.3570383118702957,0.4868373703450509,18.302263149413637
P2-C-Untrained,43,0.6233333333333333,0.64,0.33729994585773243,0.4196806764353861,17.216663731389293
P2-C-Untrained,44,0.57,0.5716666666666667,0.2597700876299923,0.45881829950139696,17.350957141926745
P2-C-Untrained,45,0.46,0.53,0.28303338768443986,0.4303986267263682,16.584748272718738
P2-C-Untrained,46,0.6166666666666667,0.6333333333333333,0.30462947535931534,0.43072863628329,17.608862000120027
