variant,seed,train_acc,test_acc,final_spatial_jepa_loss,final_temporal_jepa_loss,training_time_sec,class_0_acc,class_1_acc,class_2_acc,class_3_acc
Untrained,42,0.4625,0.4825,21.570804767898018,20.89540976652196,74.11938333511353,0.47,0.6,0.19,0.67
Untrained,43,0.41125,0.3925,20.812407378543192,19.113810689789965,74.46898221969604,0.32,0.48,0.1,0.67
Untrained,44,0.3325,0.345,20.463534618788024,19.410498523356758,74.53418111801147,0.61,0.04,0.03,0.7
Untrained,45,0.42625,0.43,20.03622114502604,18.37686129169336,74.37477040290833,0.47,0.52,0.08,0.65
Untrained,46,0.5075,0.4925,19.81981840585729,18.87295817606716,80.76674342155457,0.59,0.48,0.13,0.77
P3-C,42,0.445,0.4425,16.044501888403197,8.611792081639633,94.24634504318237,0.61,0.19,0.28,0.69
P3-C,43,0.46,0.4375,15.67522679964631,8.549540662250072,94.90777659416199,0.66,0.27,0.18,0.64
P3-C,44,0.44625,0.425,15.635801423172857,8.648735739805739,184.8109474182129,0.56,0.22,0.17,0.75
P3-C,45,0.47125,0.44,15.751356192502909,8.23708609432757,170.43066120147705,0.53,0.35,0.19,0.69
P3-C,46,0.47375,0.455,15.5841280358918,8.497783638753791,162.41949200630188,0.56,0.34,0.19,0.73
P3-B,42,0.47625,0.4675,16.34444202923515,6.251266002040176,195.00927066802979,0.75,0.31,0.14,0.67
P3-B,43,0.46,0.445,15.868061391164947,5.95804605944649,159.1896710395813,0.6,0.43,0.06,0.69
P3-B,44,0.44,0.385,15.861999426127651,5.874878860471368,148.50894045829773,0.49,0.09,0.26,0.7
P3-B,45,0.50625,0.4825,15.85094485078155,5.704302375571284,141.7816083431244,0.68,0.43,0.13,0.69
P3-B,46,0.44,0.42,15.774524615936597,5.888363621007669,146.90202140808105,0.48,0.07,0.38,0.75
P3-A,42,0.48,0.48,15.431433273906869,5.631622255453163,320.24412417411804,0.7,0.24,0.28,0.7
P3-A,43,0.47125,0.465,15.048136773240142,5.6333329464022786,371.2469689846039,0.68,0.39,0.12,0.67
P3-A,44,0.4625,0.4375,15.012870706952002,5.739383615794845,470.50733494758606,0.59,0.3,0.13,0.73
P3-A,44,0.4625,0.4375,15.012870706952002,5.739383615794845,476.129460811615,0.59,0.3,0.13,0.73
P3-A,44,0.4625,0.4375,15.012870706952002,5.739383615794845,480.05006194114685,0.59,0.3,0.13,0.73
P3-A,43,0.47125,0.465,15.048136773240142,5.6333329464022786,470.963103055954,0.68,0.39,0.12,0.67
