epoch,mean_pooled_std,mean_spatial_l0_std,mean_spatial_l1_std,mean_spatial_l2_std,mean_temporal_l0_std,mean_temporal_l1_std,mean_temporal_l2_std,spatial_loss,temporal_loss,train_acc,test_acc
0,0.03386593271126119,0.11778511426293493,0.14248397923280745,0.16327037013008563,0.19142582474919034,0.21674163089126836,0.2443031064922343,0.0,0.0,0.44625,0.4625
1,0.05659862695159922,0.13101694895225857,0.18169413932065012,0.24838706258837775,0.3010654793715053,0.3450247090246117,0.40184578783263547,21.362698160512704,19.041987191638615,0.45875,0.48
2,0.04427596817301452,0.14319141296764445,0.2144949409216584,0.31089056268131793,0.364639055537896,0.39920785507402656,0.4545557974086023,20.502145371987755,17.7852705436012,0.455,0.46
3,0.036099550857297574,0.1548732342744611,0.2421942387422279,0.35351531875360465,0.40719870436167593,0.42827574172688715,0.4718167873986324,19.955362559034924,16.618567873554284,0.465,0.4625
4,0.041364359262938244,0.16625665217238622,0.27014594599554453,0.3944060835341503,0.45095193910130854,0.47492177948742353,0.515591475704141,19.47550065604508,15.555236409871027,0.42125,0.4425
5,0.050848284502181276,0.17683815021057142,0.29608189959373493,0.429453583502203,0.48869818246874697,0.5208628883251389,0.5616640749280013,19.021610658000892,14.726211694324224,0.40375,0.385
6,0.05701117930727191,0.1870547919601018,0.32092938715468156,0.4616914511060251,0.5219628619490264,0.555162357778826,0.5923521874149349,18.638323492186455,14.188067766569796,0.39375,0.3875
7,0.05672618511044278,0.1953063435305811,0.3398231543619432,0.4842391070625608,0.5436019388374123,0.5743207584411261,0.6068266633419706,18.362851409744557,13.758218922549332,0.40125,0.3975
8,0.059572948304363056,0.20276719574538732,0.3558898481729872,0.501675215997317,0.5603429983950102,0.5873653522609907,0.6145815058715405,18.139843606200323,13.337335811650963,0.41375,0.4125
9,0.0609468377562002,0.20946879169589455,0.36973901097928774,0.5154624690772311,0.5740915314055413,0.5997783192314494,0.6239138637506577,17.925748412862166,12.962859124330219,0.42,0.425
10,0.06371890806065623,0.21625067018861016,0.3834841029873932,0.5296367953306542,0.5877535153816622,0.6115248463836804,0.6324048611426017,17.732697402084952,12.619840325727084,0.43125,0.425
11,0.06603266467642865,0.22234261064459548,0.3947984888356871,0.5403820706052147,0.5984773490037543,0.621218900560483,0.6399062589058372,17.567186906587906,12.286256319328583,0.44375,0.4325
12,0.06749271073803058,0.22807836197949583,0.40521640983416407,0.550170461374776,0.6089181940771269,0.6315978302765969,0.6490869164006605,17.427533363739233,11.988978981911071,0.45,0.4425
13,0.06814340971854341,0.23374093532729856,0.4161153641384661,0.5613244513505304,0.6201235171653376,0.6419923782139569,0.658265218517758,17.309537477895205,11.694225004721083,0.44875,0.445
14,0.06921638354685473,0.2388123630716869,0.4249392049560089,0.568824909291618,0.6288621856307343,0.6507559931349294,0.6666607849600763,17.211596137731977,11.416391083025415,0.45,0.4375
15,0.06937740371137602,0.2436185833652155,0.4333273565357743,0.5755855541379333,0.6371370128873486,0.659360938289948,0.6752838442157507,17.118465683849806,11.156437064216682,0.45375,0.4425
16,0.06968469760584697,0.24822996368926348,0.44135651008557075,0.5818593766158238,0.6447142421284671,0.6669964995191546,0.6827268354076396,17.034393588609632,10.910720072825969,0.455,0.4475
17,0.07014559379816235,0.2527106915207573,0.44915672287561637,0.5877333372140334,0.6522115356011031,0.6748666345520877,0.690783816037337,16.950852095405942,10.683772329436675,0.455,0.4575
18,0.06974591884058128,0.25676977473962986,0.4558147100700201,0.5916464888530486,0.6579422352970838,0.6815898662955888,0.6978085104469791,16.87421455799495,10.468400989695413,0.44875,0.46
19,0.07108721018341295,0.26123319320292115,0.4639907079655373,0.5988333931299596,0.6656237117742717,0.6886874262744977,0.7044037130459723,16.792949830203664,10.277496820156937,0.45125,0.4625
20,0.07121345122667594,0.2651882935561175,0.4708345767092824,0.6036176268432297,0.6716565005307946,0.6948792129613957,0.7103326225593354,16.714992902160382,10.09001518753885,0.43875,0.46
21,0.07199158083089968,0.26892187461570827,0.4766265391151907,0.6071544244632172,0.6762741552976207,0.7004562447309715,0.7157799547319064,16.637808783613718,9.908020929263527,0.4525,0.4675
22,0.07273702557781872,0.2725629304474822,0.48254162081102203,0.6108161522850561,0.6813130915621755,0.7057854738213833,0.7206911708813943,16.557529131452178,9.743658243150884,0.455,0.46
23,0.072770497106839,0.2762002338149329,0.4885497250903852,0.6152882868814276,0.6864592698283141,0.7111844695587456,0.7256234278478113,16.474595482702323,9.59482766936806,0.4575,0.46
24,0.07413957653359515,0.2800455039275234,0.4954555572316553,0.6221994187867557,0.692582629776148,0.7164476045275554,0.7299691876393681,16.39814709321812,9.43718205801145,0.44875,0.46
25,0.07333257051655173,0.28285579445997566,0.4985548610152032,0.6221721247262175,0.6944800026155085,0.719702771728282,0.7334632618335561,16.326987080537513,9.289880275545084,0.45875,0.4625
26,0.07503451742804888,0.286670165797721,0.5055692828456726,0.630590202089393,0.7015618174137199,0.7253028499149964,0.7379137630151464,16.25201706848531,9.145863203792315,0.455,0.4575
27,0.07495691888294156,0.2895292526249795,0.5092498733379514,0.633422949160301,0.705137368904518,0.7290101402154159,0.7412946329870178,16.189873409806076,9.00560766902105,0.45,0.45
28,0.07528069692070449,0.2926365181194842,0.5138500338427261,0.6384885903426362,0.7097470847768461,0.7331713510332414,0.7449096060956985,16.135611620403385,8.876801651373675,0.44625,0.46
29,0.07563273006258714,0.2954664123139526,0.5176044801135287,0.6429230113269286,0.7142145554268222,0.7370890075715071,0.748326619784234,16.085923527537116,8.739716892472925,0.44875,0.4475
30,0.07531737671735368,0.2980383127381472,0.5204257567955768,0.6458067369918287,0.7175943668912126,0.7404206767638633,0.7515041748573887,16.044501888403197,8.611792081639633,0.445,0.4425
